Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Mean,Bwd Packet Length Max,Bwd Packet Length Mean,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Mean,Bwd IAT Std,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count
3000,1.3487470149993896,11,17,1342,36194,330.0,122.0,7734.0,2129.0588235294117,27830.274753206395,20.760008873875186,0.049953593148125544,0.10866121008005787,0.35730791091918945,0.0,0.13487470149993896,0.14431387263007894,0.06785362958908081,0.1365151786921344,8.155717771879537,12.60429110199565,54.0,7734.0,1340.5714285714287,1724.4840103755141,2973845.102040816,0,2,0
3000,0.6037149429321289,4,4,451,10090,277.0,112.75,9014.0,2522.5,17460.227087976924,13.251287041439655,0.08624499184744698,0.12066601014106086,0.2860391139984131,0.0,0.20123831431070963,0.14259510085868105,0.09673436482747395,0.1368030506865606,6.625643520719827,6.625643520719827,54.0,9014.0,1317.625,2923.3464530183555,8545954.484375,0,2,0
3000,2.1127700805664062,9,10,1018,12605,316.0,113.11111111111111,5174.0,1260.5,6447.933036020583,8.992933104631218,0.11737611558702257,0.12979440954329502,0.3277308940887451,0.0,0.2640962600708008,0.1047642233941242,0.20219132635328504,0.1450340365085963,4.259810417983209,4.733122686648009,54.0,5174.0,717.0,1177.7253276415606,1387036.9473684211,0,2,0
53,0.0,1,0,75,0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.0,75.0,0.0,0.0,0,0,0
53,0.8165700435638428,1,1,75,131,75.0,75.0,131.0,131.0,252.27474559430624,2.4492693747020025,0.8165700435638428,0.0,0.8165700435638428,0.8165700435638428,0.0,0.0,0.0,0.0,1.2246346873510012,1.2246346873510012,75.0,131.0,103.0,28.0,784.0,0,0,0
443,0.6139450073242188,8,8,1410,4692,490.0,176.25,2614.0,586.5,9939.000932012776,26.06096606230816,0.04092966715494792,0.07172854487718028,0.27138280868530273,0.0,0.08770642961774554,0.14270140485985647,0.07652183941432408,0.08980989531327563,13.03048303115408,13.03048303115408,54.0,2614.0,381.375,658.8753557198812,434116.734375,0,2,0
61330,0.27315711975097656,2,1,113,61,57.0,56.5,61.0,61.0,636.9960268969995,10.982690118913785,0.13657855987548828,0.13055849075317383,0.2671370506286621,0.006020069122314453,0.27315711975097656,0.0,0.0,0.0,7.321793412609191,3.6608967063045954,56.0,61.0,58.0,2.160246899469287,4.666666666666667,0,0,0
3000,1.970132827758789,26,51,1698,154553,312.0,65.3076923076923,14134.0,3030.450980392157,79309.8809371905,39.08365919042866,0.025922800365247224,0.0790307892394095,0.3833620548248291,0.0,0.07880531311035156,0.1287180021149075,0.032810239791870116,0.09164204455135339,13.197079726638249,25.88657946379041,54.0,14134.0,2029.2337662337663,2513.947947554938,6319934.283015684,0,2,0
3000,2.629319906234741,10,12,860,35728,314.0,86.0,12854.0,2977.3333333333335,13915.385462697473,8.367182687748562,0.12520570982070195,0.1385544130982988,0.3841221332550049,0.0,0.2921466562483046,0.11306468958721912,0.21385353261774237,0.16225987708742579,3.8032648580675286,4.563917829681034,54.0,12854.0,1663.090909090909,2919.2487033028788,8522012.99173554,0,2,0
3000,2.1978471279144287,7,7,660,21573,312.0,94.28571428571429,12854.0,3081.8571428571427,10115.808200499021,6.36986977947134,0.16906516368572527,0.24452248349249525,0.8744010925292969,0.0,0.3663078546524048,0.261737930667604,0.3125063180923462,0.2933950430602971,3.18493488973567,3.18493488973567,54.0,12854.0,1588.0714285714287,3320.808302298138,11027767.780612243,0,2,0
